X,Y,LAST_YEAR,AADT_ALLVE
2515532.771,2409448.898,,
2392859.771,2466441.3,2014,560
2444544.52,2368768.62,2009,7300
2533807.439,2422479.221,2018,3100
2486660.21,2438846.403,2018,1100
2495445.434,2428640.76,2018,21000
2543772.986,2374540.126,,
2586307.969,2368557.359,2018,12000
2499289.269,2415005.799,,
2527011.256,2386366.588,,
2435058.565,2525831.484,,
2509133.001,2388093.447,,
2506793.973,2427006.755,,
2489683.398,2427028.09,,
2472209.238,2403379.49,,
2459285.5,2359931.295,2015,4200
2475367.408,2423428.117,2017,12000
2506825.345,2426989.694,,
2527011.256,2386366.588,,
2406825.967,2446953.948,2006,350
2477450.111,2596096.007,,
2519002.549,2387962.603,,
2508895.063,2393601.296,,
2523732.056,2386672.864,,
2520320.139,2409788.521,,
2493600.351,2427112.944,2020,27000
2439048.022,2533477.507,2006,3700
2501929.381,2427361.636,,
2518256.331,2391332.681,,
2397984.451,2435654.445,2014,3700
2152461.511,2563739.188,,
2520580.513,2397603.253,2011,27000
2596899.749,2398228.599,2013,30
2495461.032,2408007.189,,
2506401.437,2391868.822,2007,11000
2491659.267,2414540.18,2020,5900
2489321.726,2421572.817,,
2522373.208,2411428.47,1998,12000
2518277.5,2394196.643,2008,7100
2505348.734,2410100.866,1998,16000
2409686.907,2636056.431,,
2521795.455,2409448.008,,
2617533.182,2363371.295,,
2490925.161,2411094.346,,
2505528.69,2411280.609,2000,16000
2729878.382,2404770.977,,
2520495.102,2397020.686,,
2487604.249,2409295.436,,
2487463.575,2409614.997,,
2511573.416,2376730.149,,
2515375.526,2364171.82,,
2651052.583,2551003.876,,
2494460.405,2413043.046,,
2596899.749,2398228.599,2013,20
2503931.167,2405981.868,1995,10000
2493156.133,2424801.868,2012,23000
2497026.634,2410693.6,2002,5300
2499770.4,2408037.819,1990,12000
2494151.268,2408320.936,,
2497213.116,2407529.341,1986,6900
2525013.759,2413204.047,,
2518746.794,2389987.83,,
2240782.437,2795727.802,2013,3900
2534178.515,2382699.632,,
2522622.82,2379949.426,,
2507492.751,2399142.341,2018,19000
2679240.96,2527237.234,2013,830
2518820.736,2362558.682,,
2521504.771,2386048.167,2005,14000
2501821.251,2394167.48,2020,9200
2502327.002,2408852.571,2004,13000
2506248.291,2401830.485,,
2548040.191,2360519.733,,
2515968.543,2389590.507,,
2519991.26,2405841.254,,
2650239.129,2403256.946,2007,30
2557285.06,2350727.944,2015,280
2520016.785,2409857.89,,
2496774.708,2410477.371,,
2420037.25,2336658.957,,
2491794.277,2417981.386,2011,29000
2516505.675,2398515.706,,
2498577.589,2411751.306,,
2480817.153,2406373.59,,
2509541.679,2409452.355,,
