Sex,Age,5-year Age/Sex group,15-year Age/Sex group,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
Persons,65,Persons - 65 to 69,Persons - 60 to 74,"51,777","60,818","58,490","57,637","59,417","61,080","61,239","62,633","63,220","66,111","66,995","67,573","69,147","71,205","71,971","74,279","75,078","75,889","75,149","73,928","73,690","73,880","76,312","79,718","80,590","85,725","84,802","81,950","81,288","80,661","80,082","80,572","82,025","84,623","87,231","92,075","95,606","99,513","100,961","103,634","105,313"
Persons,66,Persons - 65 to 69,Persons - 60 to 74,"48,992","51,502","60,570","58,328","57,544","59,386","60,659","60,759","62,232","63,652","64,739","66,196","67,170","68,715","70,630","71,459","73,768","74,577","75,389","74,665","73,456","73,225","73,424","75,840","79,229","80,108","85,219","84,314","81,494","80,837","80,221","79,655","80,150","81,598","84,188","86,786","91,608","95,121","99,012","100,459","103,119"
Persons,67,Persons - 65 to 69,Persons - 60 to 74,"47,064","48,589","51,228","60,215","58,119","57,441","58,964","60,058","60,332","62,576","62,358","63,935","65,698","66,663","68,089","70,042","70,887","73,196","74,007","74,820","74,112","72,916","72,692","72,902","75,301","78,672","79,557","84,644","83,757","80,969","80,320","79,714","79,162","79,661","81,105","83,686","86,274","91,071","94,567","98,440","99,886"
Persons,68,Persons - 65 to 69,Persons - 60 to 74,"42,633","46,680","48,122","50,865","59,720","57,848","57,069","58,457","59,515","60,531","61,386","61,539","63,380","65,126","65,994","67,463","69,411","70,271","72,571","73,383","74,197","73,505","72,325","72,109","72,328","74,710","78,062","78,952","84,014","83,146","80,391","79,751","79,156","78,618","79,122","80,561","83,134","85,709","90,482","93,959","97,814"
Persons,69,Persons - 65 to 69,Persons - 60 to 74,"42,414","42,165","46,234","47,593","50,403","59,318","57,389","56,447","58,050","59,579","59,356","60,465","60,957","62,780","64,424","65,339","66,811","68,753","69,620","71,910","72,723","73,538","72,864","71,700","71,492","71,721","74,086","77,418","78,314","83,347","82,499","79,779","79,148","78,565","78,041","78,551","79,984","82,548","85,112","89,857","93,316"
Persons,70,Persons - 70 to 74,Persons - 60 to 74,"39,397","41,947","41,770","45,685","47,064","50,005","58,736","56,810","55,913","58,110","58,382","58,380","59,836","60,330","62,055","63,729","64,655","66,129","68,058","68,931","71,210","72,024","72,841","72,186","71,038","70,840","71,079","73,426","76,737","77,637","82,641","81,814","79,129","78,510","77,938","77,429","77,945","79,373","81,926","84,477","89,195"
Persons,71,Persons - 70 to 74,Persons - 60 to 74,"38,153","39,009","41,481","41,204","45,129","46,522","49,311","57,980","56,231","55,770","56,979","57,400","57,748","59,198","59,622","61,372","63,044","63,981","65,452","67,367","68,248","70,516","71,332","72,150","71,514","70,383","70,194","70,443","72,772","76,063","76,969","81,945","81,138","78,489","77,880","77,321","76,827","77,348","78,771","81,315","83,854"
Persons,72,Persons - 70 to 74,Persons - 60 to 74,"36,536","37,647","38,559","40,940","40,588","44,553","45,887","48,475","57,200","55,989","54,705","55,895","56,708","57,065","58,442","58,906","60,650","62,317","63,260","64,726","66,626","67,514","69,770","70,588","71,408","70,791","69,679","69,500","69,758","72,069","75,340","76,251","81,196","80,410","77,798","77,201","76,655","76,175","76,704","78,121","80,655"
Persons,73,Persons - 70 to 74,Persons - 60 to 74,"34,723","35,962","37,087","38,020","40,363","39,991","43,694","45,146","47,614","56,696","54,891","53,582","55,144","55,962","56,268","57,669","58,145","59,881","61,538","62,484","63,945","65,830","66,725","68,966","69,785","70,608","70,011","68,919","68,750","69,018","71,311","74,559","75,474","80,386","79,622","77,048","76,465","75,933","75,469","76,004","77,416"
Persons,74,Persons - 70 to 74,Persons - 60 to 74,"32,945","34,189","35,346","36,507","37,492","39,786","39,221","42,811","44,316","47,103","55,535","53,787","52,784","54,342","55,111","55,451","56,850","57,337","59,060","60,704","61,654","63,110","64,978","65,879","68,105","68,925","69,749","69,174","68,103","67,945","68,224","70,498","73,721","74,641","79,515","78,774","76,241","75,672","75,156","74,708","75,250"
Persons,75,Persons - 75 to 79,Persons - 75 and over,"31,824","32,357","33,618","34,723","35,864","36,860","38,879","38,439","41,841","43,697","45,977","54,468","52,886","51,929","53,435","54,228","54,580","55,976","56,469","58,177","59,808","60,761","62,210","64,060","64,967","67,175","67,997","68,822","68,269","67,221","67,076","67,366","69,620","72,816","73,739","78,573","77,855","75,366","74,814","74,314","73,882"
